0.00000 0.00616
0.07512 0.00678
0.18779 0.00761
0.30047 0.00824
0.41315 0.00875
0.56338 0.00929
0.67606 0.00969
0.86385 0.01016
0.97653 0.01039
1.27700 0.01055
1.65258 0.01051
1.84038 0.01039
2.10329 0.01012
2.21596 0.00988
2.44131 0.00953
2.66667 0.00906
2.89202 0.00871
3.04225 0.00839
3.19249 0.00804
3.38028 0.00769
3.56808 0.00729
3.79343 0.00690
4.05634 0.00647
4.31925 0.00604
4.58216 0.00565
4.84507 0.00529
5.07042 0.00502
5.25822 0.00475
5.48357 0.00443
5.85915 0.00408
6.19718 0.00376
6.57277 0.00349
7.02347 0.00322
7.43662 0.00298
7.81221 0.00282
8.30047 0.00263
8.82629 0.00247
9.35211 0.00235
9.72770 0.00227
10.02817 0.00220
